Frame,CentroidX,CentroidY,Displacement,CumulativeDistance,Area,Perimeter,Circularity,Eccentricity,MajorAxisLength,MinorAxisLength,Solidity,Extent
15,216.1700495,174.5730795,2.625266943,21.42151527,10297,488.935,0.541275441,0.827019018,161.7674673,90.94145519,0.883635115,0.626566874
16,216.8044797,175.256162,0.932257045,22.35377231,10224,483.254,0.550148319,0.831308976,162.4649268,90.29972318,0.875942426,0.612215569
17,218.7592769,175.8342531,2.038485106,24.39225742,10510,479.566,0.574269578,0.814501175,160.4667423,93.09669085,0.892417424,0.624480095
18,220.9949962,176.1146148,2.25322961,26.64548703,10592,485.156,0.565490121,0.818942002,161.4282104,92.63982252,0.886879344,0.633189861
19,221.3965972,177.0572286,1.024599534,27.67008657,10991,495.328,0.562938971,0.824405714,165.2971123,93.55805136,0.890319968,0.627698458
20,222.7474368,178.1249542,1.721861089,29.39194765,10924,491.003,0.569407606,0.804996032,161.4343269,95.7757888,0.897617091,0.628972824
21,222.1904187,177.595395,0.768571479,30.16051913,10771,497.834,0.546130941,0.80658946,161.4210516,95.417927,0.892156051,0.6142572
22,222.1904187,177.595395,0,30.16051913,10771,497.834,0.546130941,0.80658946,161.4210516,95.417927,0.892156051,0.6142572
23,222.4054715,178.4518191,0.883011829,31.04353096,10637,500.141,0.534372508,0.833666471,165.964586,91.65697075,0.881275891,0.625705882
24,224.071598,179.4024991,1.918272628,32.96180359,10964,489.109,0.57592719,0.810523482,162.9615887,95.44760351,0.892325222,0.639822596
25,224.071598,179.4024991,0,32.96180359,10964,489.109,0.57592719,0.810523482,162.9615887,95.44760351,0.892325222,0.639822596
26,223.0115844,178.8896288,1.177567272,34.13937086,10963,495.725,0.560605863,0.812884921,163.5832622,95.27487268,0.890866244,0.617807833
27,221.953988,178.0803135,1.331728697,35.47109956,10845,494.229,0.557934183,0.815105956,162.9645867,94.40732469,0.894285479,0.644385027
28,220.0333397,177.297375,2.074098023,37.54519758,10438,480.922,0.567123792,0.820643271,161.2977354,92.17211174,0.887962569,0.626342634
29,219.8517423,177.0499122,0.306945355,37.85214294,10819,493.467,0.558316875,0.806748482,161.4186219,95.38145453,0.880882592,0.624473304
30,219.3120133,176.251205,0.963971191,38.81611413,10788,479.764,0.588973139,0.806800196,160.1223957,94.60421464,0.897877653,0.644906743
31,216.6032339,176.1355267,2.711248297,41.52736242,10699,469.866,0.608982778,0.81604469,160.682396,92.87262689,0.901196092,0.635710042
32,215.0078286,174.0750563,2.605927226,44.13328965,10219,477.996,0.562043253,0.8145368,159.5984237,92.58494282,0.882622215,0.607189542
33,212.3373939,172.3832252,3.161251917,47.29454157,10015,475.555,0.556492497,0.823324229,159.3372016,90.43522731,0.877047027,0.610670732
34,212.9148515,172.2216832,0.599627441,47.89416901,10100,483.618,0.542658143,0.824236283,160.2237774,90.72607541,0.879025239,0.596503662
35,212.1594608,172.7884174,0.944353077,48.83852209,10015,471.71,0.565601629,0.826315561,159.8446985,90.02571955,0.883780445,0.613100704
36,211.9537458,172.5286618,0.331348197,49.16987028,10118,481.5,0.548418323,0.825839332,160.4840188,90.49781876,0.878603682,0.627006259
37,213.5860813,173.8983168,2.130838791,51.30070907,10159,490.029,0.531639523,0.825307283,161.217417,91.03687716,0.875700371,0.60230035
38,216.3509504,174.1074641,2.772768231,54.07347731,10785,493.394,0.556727002,0.827014342,164.8731104,92.68850097,0.88831233,0.604201681
39,218.1600184,176.1135882,2.701344331,56.77482164,10855,487.002,0.575146131,0.826154779,164.9879936,92.96136928,0.902252514,0.633461718
40,218.945412,176.1589888,0.786704681,57.56152632,10680,483.942,0.573052599,0.813980598,161.5498576,93.84302973,0.891783567,0.614923998
41,219.3376708,176.9712601,0.90202643,58.46355275,10682,490.68,0.557526769,0.823342861,162.8548578,92.42734637,0.893069141,0.649993915
42,221.5551405,177.2620226,2.236451356,60.7000041,10709,482.71,0.577545482,0.80507865,160.3194986,95.09640856,0.890783563,0.624067599
43,221.5551405,177.2620226,0,60.7000041,10709,482.71,0.577545482,0.80507865,160.3194986,95.09640856,0.890783563,0.624067599
44,221.5551405,177.2620226,0,60.7000041,10709,482.71,0.577545482,0.80507865,160.3194986,95.09640856,0.890783563,0.624067599
45,224.3725091,177.9116996,2.891305188,63.59130929,11291,496.76,0.574975096,0.808838361,164.7663269,96.88771479,0.899752968,0.63254902
46,223.6322068,178.5331646,0.966574544,64.55788384,11066,491.865,0.574789319,0.798685156,162.4049181,97.7270191,0.89321172,0.611955981
47,223.3342781,177.9252436,0.67700037,65.2348842,11290,498.283,0.571415037,0.798371387,163.6739137,98.5587622,0.896316291,0.611327702
48,223.4039305,177.8499737,0.102552491,65.3374367,11398,493.882,0.587208212,0.79861316,163.6883616,98.51496992,0.901669172,0.630315766
49,220.4819811,176.4678433,3.232347835,68.56978453,10822,484.734,0.578775885,0.820227499,163.568592,93.56736099,0.893272802,0.637788779
50,218.4338006,177.7748248,2.42965925,70.99944378,10272,473.621,0.575443878,0.838875968,163.5501083,89.0240228,0.897196262,0.637933176
51,216.3624354,176.8169634,2.282115751,73.28155953,10446,483.808,0.560807476,0.811560612,158.9869965,92.89105219,0.892591643,0.649950224
52,213.4142801,175.0381522,3.443223612,76.72478314,10196,483.428,0.548246779,0.826559246,161.1187467,90.68564228,0.893132446,0.630550402
53,211.1201215,172.7668787,3.228288514,79.95307166,10531,484.587,0.563554547,0.803307088,158.8001268,94.57580462,0.886821053,0.604188181
54,208.6407496,172.6756393,2.481050197,82.43412185,9659,472.818,0.542942736,0.836168886,159.8952782,87.69809158,0.876576822,0.613503557
55,203.9930209,169.4681954,5.647041494,88.08116335,10030,469.527,0.571728253,0.817780599,157.4778568,90.63324607,0.879515959,0.624571891
56,199.7953841,167.5515547,4.61450611,92.69566946,9359,462.629,0.549507476,0.840482148,158.2393886,85.74030971,0.870442708,0.626187609
57,197.475256,165.6659556,2.989728801,95.68539826,9376,459.668,0.557620742,0.830002873,156.1315867,87.08381565,0.866863905,0.61329147
58,194.6216357,163.1126468,3.829168961,99.51456722,9623,462.438,0.565474886,0.81259547,154.23434,89.89210839,0.868972368,0.62083871
59,190.7745897,161.5126617,4.166499116,103.6810663,9201,459.246,0.548219059,0.834142304,156.0339324,86.06040433,0.865976471,0.628913192
60,188.2102972,160.160553,2.898929854,106.5799962,9187,455.839,0.555597934,0.828326746,154.4337523,86.52078462,0.865554927,0.615008703
61,187.2507612,158.8288386,1.641393406,108.2213896,9196,461.182,0.543330556,0.833551058,155.8274037,86.08566891,0.869433677,0.624516129
62,183.1318241,156.8788995,4.55718176,112.7785714,9232,449.322,0.574632643,0.829336694,154.2912822,86.21012764,0.870286576,0.631032126
63,178.361178,154.1196628,5.511120669,118.289692,9134,449.363,0.568429032,0.83594617,155.0820567,85.11080755,0.866685644,0.624333561
64,176.2173913,152.1748962,2.894466878,121.1841589,9154,447.336,0.574848063,0.844673993,157.7305186,84.43016407,0.869160653,0.647566497
65,174.7830366,151.2982417,1.681040302,122.8651992,9043,442.316,0.580840775,0.84974282,157.9431088,83.26720244,0.870691315,0.653773858
66,174.1538891,149.2073089,2.18353536,125.0487346,8948,444.077,0.570189583,0.852623343,157.7555347,82.43137064,0.870428016,0.642677584
67,174.1538891,149.2073089,0,125.0487346,8948,444.077,0.570189583,0.852623343,157.7555347,82.43137064,0.870428016,0.642677584
68,174.1538891,149.2073089,0,125.0487346,8948,444.077,0.570189583,0.852623343,157.7555347,82.43137064,0.870428016,0.642677584
69,174.1538891,149.2073089,0,125.0487346,8948,444.077,0.570189583,0.852623343,157.7555347,82.43137064,0.870428016,0.642677584
70,176.8193897,150.1294899,2.820516112,127.8692507,8881,443.498,0.567398787,0.852492289,157.475854,82.31889612,0.868897368,0.642061885
71,176.8193897,150.1294899,0,127.8692507,8881,443.498,0.567398787,0.852492289,157.475854,82.31889612,0.868897368,0.642061885
72,178.0787892,149.9593487,1.270840321,129.140091,9151,457.442,0.549548904,0.843610183,158.1079289,84.8970177,0.866079879,0.625495557
73,179.0293734,150.7997171,1.268790515,130.4088815,9192,454.232,0.559840647,0.846583967,158.7887468,84.51613442,0.872520171,0.639132249
74,179.5792703,151.2195683,0.691853768,131.1007353,9127,446.542,0.575192597,0.854168196,159.7312451,83.05973957,0.871812016,0.655534008
75,180.9352979,152.3667521,1.776187327,132.8769226,9366,447.576,0.587530526,0.847601738,158.9697743,84.35459533,0.87565445,0.642827728
76,179.5253002,152.198006,1.420059433,134.296982,9328,456.507,0.562475381,0.852501297,160.5327865,83.91451828,0.871449925,0.636115657
77,180.6175466,152.5739006,1.155118576,135.4521006,9073,447.742,0.568728648,0.850974503,158.8022208,83.40403836,0.869311105,0.643247076
78,181.097856,152.9485432,0.609142163,136.0612428,9095,448.386,0.568471216,0.8479724,158.3222194,83.91716991,0.868009162,0.641939582
79,182.0256844,153.1774654,0.955652118,137.0168949,9461,458.558,0.565403324,0.841902818,159.4595543,86.04902751,0.870297121,0.641076027
80,181.626236,153.1662272,0.399606454,137.4165013,9102,446.799,0.57295737,0.844295147,157.5632074,84.43472619,0.872926057,0.639679528
81,181.626236,153.1662272,0,137.4165013,9102,446.799,0.57295737,0.844295147,157.5632074,84.43472619,0.872926057,0.639679528
82,181.8250601,153.4130768,0.316963312,137.7334647,9146,449.056,0.569954326,0.849513914,159.278379,84.02989133,0.872460174,0.645539243
83,181.8585113,153.4185201,0.033891204,137.7673559,9082,451.792,0.559131923,0.849716487,157.8705151,83.23563147,0.875542273,0.648066219
84,181.5500054,154.8349661,1.449653415,139.2170093,9289,461.841,0.54726019,0.849155869,160.4042189,84.71625628,0.871551886,0.640267439
85,181.4372558,153.7016934,1.138867581,140.3558769,9212,456.085,0.556509029,0.848701262,159.1430834,84.16640735,0.870699433,0.630915691
86,182.0217485,153.98496,0.649516543,141.0053934,9242,456.425,0.557489869,0.865017206,164.036983,82.30427646,0.863980555,0.631802024
87,182.4345982,154.4369903,0.612189773,141.6175832,9197,454.762,0.558840297,0.850384104,159.8479684,84.10599132,0.87332637,0.663564214
88,181.4326218,154.5339901,1.006660708,142.6242439,9135,454.621,0.555417334,0.858701186,160.722543,82.36654355,0.874916196,0.659090909
89,181.4326218,154.5339901,0,142.6242439,9135,454.621,0.555417334,0.858701186,160.722543,82.36654355,0.874916196,0.659090909
90,182.2544067,155.1704643,1.039437264,143.6636812,9304,449.247,0.579307558,0.842424652,158.23252,85.25792342,0.879727685,0.638572409
91,183.2209352,154.1828614,1.381859915,145.0455411,9324,457.5,0.559796182,0.842447201,159.0432903,85.68917051,0.867510234,0.639945093
92,182.0501325,155.0612853,1.463696534,146.5092376,9056,446.244,0.571480608,0.848763613,157.8807578,83.48299898,0.877434357,0.646210932
93,182.4497308,154.4568729,0.724564159,147.2338018,9101,447.378,0.571412493,0.845123536,157.639522,84.26952504,0.87442352,0.638218794
94,182.152305,155.0791685,0.689720149,147.9235219,9284,460.039,0.551259002,0.850956315,159.7684633,83.91622389,0.872556391,0.651051893
95,182.3643107,155.5945745,0.557305866,148.4808278,9437,466.382,0.545205537,0.850344492,162.2467186,85.37850979,0.864273285,0.646325594
96,182.7529232,155.2448913,0.522779169,149.0036069,9151,453.341,0.559536501,0.845855765,158.5175295,84.55510237,0.865915973,0.62807138
97,182.6746524,155.3797861,0.155958097,149.159565,9350,457.74,0.560768673,0.84873298,160.4125156,84.82960988,0.87628866,0.648629899
98,182.3229018,154.6023635,0.853296169,150.0128612,9139,450.198,0.566632419,0.847729506,158.4927751,84.06912835,0.873792906,0.64088359
99,182.3229018,154.6023635,0,150.0128612,9139,450.198,0.566632419,0.847729506,158.4927751,84.06912835,0.873792906,0.64088359
100,182.8031784,155.4220981,0.950068634,150.9629298,9313,450.992,0.575389312,0.849239079,159.6992387,84.32255697,0.878253489,0.648899108
101,182.6058804,155.0157821,0.451684856,151.4146147,9251,450.586,0.572589207,0.849831033,159.422429,84.02442507,0.877454235,0.660125589
102,182.4676228,155.2210995,0.247528659,151.6621434,9204,452.744,0.564262342,0.853057459,160.0811702,83.53307455,0.873659231,0.652534562
103,183.1555951,156.1512992,1.156969101,152.8191125,9544,458.138,0.571409772,0.854128434,162.5217491,84.52140677,0.876883499,0.645431798
104,183.1555951,156.1512992,0,152.8191125,9544,458.138,0.571409772,0.854128434,162.5217491,84.52140677,0.876883499,0.645431798
105,183.1555951,156.1512992,0,152.8191125,9544,458.138,0.571409772,0.854128434,162.5217491,84.52140677,0.876883499,0.645431798
106,183.1555951,156.1512992,0,152.8191125,9544,458.138,0.571409772,0.854128434,162.5217491,84.52140677,0.876883499,0.645431798
107,183.1555951,156.1512992,0,152.8191125,9544,458.138,0.571409772,0.854128434,162.5217491,84.52140677,0.876883499,0.645431798
108,182.3614829,155.8371574,0.853990242,153.6731027,9414,461.411,0.555658766,0.854192194,161.966073,84.21545787,0.87833551,0.654750313
109,182.8381299,155.7942441,0.478574873,154.1516776,9069,452.67,0.556167798,0.857948182,159.7505842,82.06966342,0.869094394,0.642963488
110,182.502308,156.0125892,0.400563219,154.5522408,9532,458.922,0.568743102,0.85446816,162.0075113,84.16351236,0.878849345,0.662957296
111,182.502308,156.0125892,0,154.5522408,9532,458.922,0.568743102,0.85446816,162.0075113,84.16351236,0.878849345,0.662957296
112,182.502308,156.0125892,0,154.5522408,9532,458.922,0.568743102,0.85446816,162.0075113,84.16351236,0.878849345,0.662957296
113,182.8815201,156.0887801,0.386790477,154.9390313,9394,455.539,0.568865102,0.852422132,160.5827347,83.96135642,0.882065728,0.669088319
114,181.8915845,156.6757284,1.150860879,156.0898921,9233,458.896,0.550965183,0.853190463,159.5234931,83.20737355,0.875663885,0.658841159
115,182.5484435,156.3855816,0.718086891,156.807979,9155,447.717,0.573932797,0.855780021,159.8792209,82.71189756,0.882664867,0.652065527
116,183.3613088,156.6070328,0.842490777,157.6504698,9413,462.271,0.55353441,0.851012505,160.6828497,84.38186336,0.882358455,0.663074105
117,183.1372159,156.6545512,0.229075626,157.8795454,9547,460.065,0.566811165,0.847284063,160.5149909,85.25593495,0.883735999,0.645634679
118,183.5924396,155.4632307,1.2753325,159.1548779,9682,454.192,0.589788067,0.850790949,161.8919001,85.07488845,0.882186788,0.636973684
119,183.2482839,156.8914352,1.469085145,160.6239631,9469,451.447,0.583848862,0.854755613,161.1349895,83.63400248,0.886859605,0.670134466
120,182.4925592,157.2220708,0.824887682,161.4488508,9542,460.214,0.566147539,0.853168266,161.8090259,84.40538111,0.889199515,0.663652803
121,183.0398292,157.1711692,0.549632021,161.9984828,9365,451.538,0.577203606,0.850231357,159.8473604,84.14512018,0.884909761,0.638638843
122,183.2037431,156.5229689,0.668604072,162.6670869,9404,456.433,0.567242042,0.851072947,160.9825629,84.5234862,0.878385952,0.662440124
123,183.2037431,156.5229689,0,162.6670869,9404,456.433,0.567242042,0.851072947,160.9825629,84.5234862,0.878385952,0.662440124
124,183.65248,156.3850357,0.46945758,163.1365444,9516,455.093,0.577382992,0.849077425,160.7404093,84.91408246,0.880458919,0.64893617
125,183.6223322,157.9149397,1.530200969,164.6667454,9699,468.673,0.554877294,0.849621979,163.1311085,86.03406799,0.878532609,0.663043478
126,182.5531511,156.9318062,1.452480562,166.119226,9473,462.329,0.556922969,0.860471451,163.7789528,83.44515649,0.880717739,0.65471007
127,182.5531511,156.9318062,0,166.119226,9473,462.329,0.556922969,0.860471451,163.7789528,83.44515649,0.880717739,0.65471007
128,183.2869857,157.2996545,0.820868799,166.9400948,9551,459.584,0.568236213,0.859762848,163.1519833,83.32065642,0.885253499,0.663263889
129,182.6850977,155.9490015,1.478692865,168.4187876,9314,467.456,0.535629664,0.853684969,161.3372069,84.02276532,0.877768354,0.643721059
130,183.5633018,158.0471083,2.274487761,170.6932754,9510,463.86,0.555413631,0.860722821,163.6586602,83.31435091,0.883828996,0.660416667
131,182.8242718,156.672384,1.560779319,172.2540547,9270,453.099,0.567418369,0.869617165,163.9585836,80.95071911,0.882689012,0.658380682
132,182.5385362,156.2016816,0.550641155,172.8046959,9277,462.892,0.544074123,0.86976918,164.5550301,81.2011253,0.873951955,0.651474719
133,182.5385362,156.2016816,0,172.8046959,9277,462.892,0.544074123,0.86976918,164.5550301,81.2011253,0.873951955,0.651474719
134,182.3064499,156.079789,0.262148541,173.0668444,9287,448.981,0.578934437,0.857767775,161.0873126,82.80490275,0.891780296,0.664638947
135,183.4215957,156.4625532,1.179007536,174.2458519,9400,467.821,0.539732154,0.85195633,162.0828702,84.86867283,0.875314275,0.646670336
136,183.320989,156.6500381,0.212772922,174.4586249,9181,451.488,0.565988266,0.854677648,160.1847282,83.1613511,0.874797523,0.628792548
137,183.0891163,156.1529688,0.548491471,175.0071163,9381,463.652,0.54837131,0.863035662,163.1552307,82.41672206,0.87493005,0.644299451
138,182.9472789,156.49054,0.366158653,175.373275,9408,452.413,0.577613083,0.857338667,161.8761376,83.32618953,0.883297343,0.657442348
139,182.678624,154.8925942,1.620372264,176.9936473,9506,454.671,0.577847401,0.851767334,160.5109538,84.09493616,0.887084733,0.662346711
140,184.065649,157.1913962,2.684833213,179.6784805,9368,452.042,0.576101718,0.849877729,160.2695255,84.45882323,0.881113619,0.648573802
141,182.9893223,157.1730627,1.07648281,180.7549633,9459,460.675,0.560100294,0.858308495,163.1897385,83.73820724,0.879089219,0.641636142
142,182.9893223,157.1730627,0,180.7549633,9459,460.675,0.560100294,0.858308495,163.1897385,83.73820724,0.879089219,0.641636142
143,182.6763582,156.1340195,1.085153092,181.8401164,9424,454.877,0.572344067,0.855972479,161.6431525,83.57296698,0.882231792,0.666949752
144,182.9910241,155.5720774,0.644044668,182.484161,9247,452.654,0.567123961,0.854030121,160.6908523,83.59516716,0.875082805,0.636144744
145,184.089771,157.1776161,1.945507431,184.4296685,9346,451.381,0.57643334,0.847357317,159.5386932,84.71873808,0.880867107,0.644196305
146,183.1074601,156.1867708,1.395245139,185.8249136,9343,456.11,0.56436104,0.85350465,160.9511348,83.86925848,0.881248821,0.66545584
147,183.1074601,156.1867708,0,185.8249136,9343,456.11,0.56436104,0.85350465,160.9511348,83.86925848,0.881248821,0.66545584
148,183.1074601,156.1867708,0,185.8249136,9343,456.11,0.56436104,0.85350465,160.9511348,83.86925848,0.881248821,0.66545584
149,183.1074601,156.1867708,0,185.8249136,9343,456.11,0.56436104,0.85350465,160.9511348,83.86925848,0.881248821,0.66545584
150,183.1074601,156.1867708,0,185.8249136,9343,456.11,0.56436104,0.85350465,160.9511348,83.86925848,0.881248821,0.66545584
151,183.1074601,156.1867708,0,185.8249136,9343,456.11,0.56436104,0.85350465,160.9511348,83.86925848,0.881248821,0.66545584
152,183.1074601,156.1867708,0,185.8249136,9343,456.11,0.56436104,0.85350465,160.9511348,83.86925848,0.881248821,0.66545584
153,183.1074601,156.1867708,0,185.8249136,9343,456.11,0.56436104,0.85350465,160.9511348,83.86925848,0.881248821,0.66545584
154,183.1074601,156.1867708,0,185.8249136,9343,456.11,0.56436104,0.85350465,160.9511348,83.86925848,0.881248821,0.66545584
155,183.1074601,156.1867708,0,185.8249136,9343,456.11,0.56436104,0.85350465,160.9511348,83.86925848,0.881248821,0.66545584
156,183.1074601,156.1867708,0,185.8249136,9343,456.11,0.56436104,0.85350465,160.9511348,83.86925848,0.881248821,0.66545584
157,183.1074601,156.1867708,0,185.8249136,9343,456.11,0.56436104,0.85350465,160.9511348,83.86925848,0.881248821,0.66545584
158,179.6368262,153.0722018,4.663243581,190.4881572,9238,446.287,0.58285342,0.838247473,156.7290012,85.46275563,0.876470588,0.627368421
159,178.2876844,153.2625615,1.362505137,191.8506623,9354,451.908,0.575581956,0.851131605,159.6177355,83.79170849,0.869896773,0.642004118
160,176.9720768,150.6896815,2.889729185,194.7403915,9168,450.188,0.568455718,0.851268858,159.5710934,83.73170305,0.865804136,0.652851955
161,175.0203023,149.7850601,2.151223689,196.8916152,9063,437.09,0.596128799,0.85006995,157.6928683,83.05207157,0.86569873,0.627631579
162,172.9010433,147.8396257,2.876799232,199.7684144,9297,432.969,0.623216711,0.854385283,159.3855144,82.82309765,0.893598616,0.667744021
163,170.2889225,146.5319585,2.92115881,202.6895732,9262,449.09,0.577095744,0.84610858,158.7632268,84.62247855,0.870243352,0.63473136
164,168.9612262,145.820658,1.506229003,204.1958022,9362,453.059,0.573150897,0.840327111,157.9173175,85.60376412,0.874217948,0.645833333
165,169.6663774,145.4562907,0.793726501,204.9895288,9220,453.479,0.56341243,0.829898209,155.5368122,86.77629493,0.865077876,0.651359943
166,169.2888239,145.3606238,0.389485328,205.3790141,9234,449.759,0.573640768,0.848321912,159.6366972,84.52456865,0.863151991,0.653225806
167,172.1749836,146.2652659,3.024614862,208.4036289,9138,447.304,0.573925411,0.845826713,158.9202162,84.77722109,0.860938383,0.653461098
168,173.6646315,145.8370039,1.549986842,209.9536158,9172,458.79,0.547578041,0.852656511,160.3059671,83.75536128,0.865364657,0.647374365
169,174.3885226,147.434886,1.754207934,211.7078237,9253,449.404,0.575729601,0.845948706,158.9470899,84.76080465,0.869969914,0.657360045
170,175.0875816,146.7065133,1.009559356,212.7173831,9043,451.985,0.556255542,0.841771717,157.3338159,84.93408904,0.862305712,0.639714205
171,175.5907962,145.9166037,0.936580069,213.6539631,9257,458.518,0.553308509,0.838560674,157.9264128,86.03960774,0.860876035,0.638589956
172,175.0814751,147.4551887,1.62069485,215.274658,9328,455.003,0.566200021,0.843704855,159.1697067,85.44346647,0.863383932,0.628529075
173,175.0814751,147.4551887,0,215.274658,9328,455.003,0.566200021,0.843704855,159.1697067,85.44346647,0.863383932,0.628529075
174,176.0760046,148.4072267,1.376758923,216.6514169,9631,460.634,0.570386536,0.844789188,161.5333552,86.43638039,0.874591355,0.671056299
175,176.1977098,148.9656477,0.571529679,217.2229466,9519,453.05,0.582785746,0.853020575,162.2241579,84.66110275,0.874425868,0.663252508
176,176.1977098,148.9656477,0,217.2229466,9519,453.05,0.582785746,0.853020575,162.2241579,84.66110275,0.874425868,0.663252508
177,176.1977098,148.9656477,0,217.2229466,9519,453.05,0.582785746,0.853020575,162.2241579,84.66110275,0.874425868,0.663252508
178,176.1977098,148.9656477,0,217.2229466,9519,453.05,0.582785746,0.853020575,162.2241579,84.66110275,0.874425868,0.663252508
179,177.4702714,149.2848242,1.311978121,218.5349247,9469,456.335,0.571408138,0.83671602,158.6229732,86.86781172,0.876921652,0.647231716
180,176.9885981,149.0816592,0.522766824,219.0576915,9209,451.787,0.566963208,0.841361557,158.0253421,85.40838192,0.879812745,0.638848422
181,177.524166,147.9682421,1.235528504,220.29322,9352,459.401,0.556840083,0.84866561,160.6998841,84.99894975,0.875573448,0.663027295
182,177.2702298,148.1597007,0.318025088,220.6112451,9355,461.47,0.552035122,0.851699022,161.3522122,84.55360522,0.875035076,0.644816653
183,176.8823529,148.3075754,0.415108917,221.026354,9214,453.489,0.563020953,0.854663031,161.4179791,83.80548858,0.866629044,0.646143058
184,176.8885385,150.0768813,1.769316636,222.7956707,9196,455.349,0.557339793,0.8508475,159.3981303,83.74980595,0.871163319,0.657608696
185,176.9597695,149.7792759,0.30601116,223.1016818,9197,449.371,0.572329283,0.852159102,160.3577631,83.91245548,0.874988108,0.644950912
186,176.9597695,149.7792759,0,223.1016818,9197,449.371,0.572329283,0.852159102,160.3577631,83.91245548,0.874988108,0.644950912
187,176.682569,148.9037166,0.918392149,224.020074,9202,451.744,0.566640102,0.850314793,159.6654839,84.02785814,0.873386484,0.631571723
188,177.1224645,149.965506,1.149306239,225.1693802,9219,453.481,0.563346354,0.850426219,160.1255378,84.24113785,0.871608206,0.618102581
189,176.84327,148.9246965,1.077605668,226.2469859,9309,456.383,0.561634757,0.849257004,159.6927546,84.31452934,0.87970138,0.657044043
190,177.8566251,149.312973,1.085194581,227.3321805,9381,454.34,0.571080134,0.855836962,161.6145839,83.59444539,0.883167012,0.665083304
191,177.8566251,149.312973,0,227.3321805,9381,454.34,0.571080134,0.855836962,161.6145839,83.59444539,0.883167012,0.665083304
192,177.84979,150.1919888,0.879042345,228.2112228,9287,450.281,0.575596396,0.849159905,160.2046913,84.60983784,0.874976446,0.633319694
193,176.9864763,149.3721735,1.190549346,229.4017722,9243,451.074,0.570856864,0.856053448,160.8354596,83.13380854,0.880369559,0.666883117
194,177.2899183,149.8364033,0.554604629,229.9563768,9175,451.495,0.565600841,0.856270134,160.9235234,83.12154976,0.872148289,0.650478554
195,177.3035537,150.0121025,0.176227582,230.1326044,9089,444.83,0.577215294,0.852661411,159.2204423,83.18693184,0.877909785,0.655772006
196,177.3035537,150.0121025,0,230.1326044,9089,444.83,0.577215294,0.852661411,159.2204423,83.18693184,0.877909785,0.655772006
197,177.5300388,150.6900301,0.714759609,230.847364,9288,460.626,0.550091804,0.85190394,161.2728489,84.45828104,0.866256295,0.651332398
198,177.9893798,149.997876,0.830705481,231.6780695,9416,451.579,0.580241569,0.845815661,159.9611085,85.33529628,0.877703207,0.638026833
199,178.1520017,150.6226893,0.645629657,232.3236991,9467,449.321,0.589262505,0.845434032,160.2571017,85.59009067,0.877711849,0.645594654
200,178.1520017,150.6226893,0,232.3236991,9467,449.321,0.589262505,0.845434032,160.2571017,85.59009067,0.877711849,0.645594654
201,178.0564464,150.3249947,0.312654654,232.6363538,9354,450.057,0.580326213,0.846937194,159.7421026,84.93374914,0.879962371,0.631174089
202,179.0470649,151.0725026,1.24100483,233.8773586,9710,458.418,0.580638421,0.848299098,162.3146606,85.94843149,0.88377173,0.675337321
203,177.8110025,150.4838294,1.369082327,235.2464409,9307,445.996,0.587973362,0.852586993,160.4902208,83.86983374,0.882263722,0.655607213
204,177.6326087,150.0608696,0.459041763,235.7054827,9200,453.704,0.561632815,0.85881419,161.723967,82.84912002,0.875356803,0.651096957
